post_id,external_id,date,fraud_score,fraud_keywords,fraud_keyword_count,cta_phrases,cta_count,has_price_claim,price_value,has_medical_claim,medical_specificity_score,tier_recommendation
6303,3665,2022-12-20,100,healing,1,join|join|join|watch|watch|watch|watch|watch|watch|watch,29,False,0,True,0.0,CRITICAL
6322,3636,2022-12-16,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|watch|watch|watch|watch|watch|watch|watch,8,False,0,True,0.3333333333333333,CRITICAL
6323,3628,2022-12-14,100,healing|healing|healing|healing|healing|healing|energy|approved,8,watch|watch|watch|watch|watch|watch|watch|watch|live|live,11,False,0,True,0.3333333333333333,CRITICAL
6324,3618,2022-12-13,100,healing|healing|healing|scalar,4,watch|watch|watch|watch|watch|watch|live|live|live|live,12,False,0,True,0.3333333333333333,CRITICAL
6325,3616,2022-12-13,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|live|live|live|live|live,13,False,0,True,0.6666666666666666,CRITICAL
6326,3614,2022-12-13,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|watch|live|live|live|live,15,False,0,True,0.6666666666666666,CRITICAL
6327,3619,2022-12-13,100,healing|healing|healing|healing|healing|scalar,6,watch|watch|watch|watch|watch|watch|live|live|live|live,12,False,0,True,0.3333333333333333,CRITICAL
6328,3645,2022-12-18,100,healing|healing|healing|healing|healing|healing|healing|approved,8,join|join|watch|watch|watch|watch|watch|watch|watch,9,False,0,True,0.0,CRITICAL
6329,3621,2022-12-14,100,healing|healing|healing|healing|scalar,5,watch|watch|watch|watch|watch|watch|live|live|live|live,12,False,0,True,0.3333333333333333,CRITICAL
6330,3627,2022-12-14,100,healing|healing|healing|healing|healing|energy|scalar|approved,8,watch|watch|watch|watch|watch|watch|live|live|live,9,False,0,True,0.6666666666666666,CRITICAL
6331,3612,2022-12-12,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|watch|watch|live|live|live,16,False,0,True,0.6666666666666666,CRITICAL
6332,3617,2022-12-13,100,healing|healing|healing|scalar,4,watch|watch|watch|watch|watch|watch|live|live|live|live,13,False,0,True,0.3333333333333333,CRITICAL
6333,3609,2022-12-12,100,healing|healing|healing|healing|energy|scalar,6,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,21,False,0,True,0.6666666666666666,CRITICAL
6334,3613,2022-12-12,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|watch|watch|live|live|live,16,False,0,True,0.6666666666666666,CRITICAL
6335,3611,2022-12-12,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|watch|watch|watch|live|live,16,False,0,True,0.6666666666666666,CRITICAL
6336,3607,2022-12-12,100,healing|healing|healing|healing|healing|energy|scalar,7,join|join|watch|watch|watch|watch|watch|watch|watch|watch,22,False,0,True,0.6666666666666666,CRITICAL
6321,3622,2022-12-14,100,healing|healing|healing|healing|healing|energy|scalar,7,watch|watch|watch|watch|watch|watch|live|live|live|live,12,False,0,True,0.6666666666666666,CRITICAL
6320,3620,2022-12-13,100,healing|healing|healing|healing|scalar,5,watch|watch|watch|watch|watch|watch|live|live|live|live,12,False,0,True,0.3333333333333333,CRITICAL
6319,3626,2022-12-14,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|live|live|live,8,False,0,True,0.6666666666666666,CRITICAL
6310,3641,2022-12-18,100,healing|healing|healing|healing|healing|healing|healing|healing|healing|healing,12,join|join|watch|watch|watch|watch|watch|watch,8,False,0,True,0.3333333333333333,CRITICAL
6304,3638,2022-12-17,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|join|watch|watch|watch|watch|watch|watch,8,False,0,True,0.3333333333333333,CRITICAL
6305,3640,2022-12-18,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|join|watch|watch|watch|watch|watch|watch,8,False,0,True,0.3333333333333333,CRITICAL
6306,3637,2022-12-16,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|watch|watch|watch|watch|watch|watch,7,False,0,True,0.3333333333333333,CRITICAL
6307,3647,2022-12-19,100,healing|healing|healing|healing|healing|healing|healing|approved,8,join|join|watch|watch|watch|watch|watch|watch|watch|sale,11,False,0,True,0.0,CRITICAL
6308,3632,2022-12-15,100,healing|healing|healing|healing|healing|healing|energy|approved,8,join|watch|watch|watch|watch|watch|watch|watch|watch|live,10,False,0,True,0.3333333333333333,CRITICAL
6309,3635,2022-12-16,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|watch|watch|watch|watch|watch|watch|watch|live,9,False,0,True,0.3333333333333333,CRITICAL
6311,3633,2022-12-15,100,healing|healing|healing|healing|healing|healing|energy|approved,8,join|watch|watch|watch|watch|watch|watch|watch|live,9,False,0,True,0.3333333333333333,CRITICAL
6318,3643,2022-12-18,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|join|watch|watch|watch|watch|watch|watch,8,False,0,True,0.3333333333333333,CRITICAL
6312,3631,2022-12-15,100,healing|healing|healing|healing|healing|healing|energy|approved,8,watch|watch|watch|watch|watch|watch|watch|watch|live,9,False,0,True,0.3333333333333333,CRITICAL
6313,3639,2022-12-17,100,healing|healing|healing|healing|healing|healing|healing|healing|energy|approved,10,join|join|watch|watch|watch|watch|watch|watch|watch,9,False,0,True,0.3333333333333333,CRITICAL
6314,3652,2022-12-19,100,healing|healing|healing|healing,4,join|join|join|join|watch|watch|watch|watch|watch|sale,12,False,0,True,0.0,CRITICAL
6315,3625,2022-12-14,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|live|live|live,8,False,0,True,0.6666666666666666,CRITICAL
6316,3624,2022-12-14,100,healing|healing|healing|healing|energy|scalar,6,watch|watch|watch|watch|watch|live|live|live|live|live,10,False,0,True,0.6666666666666666,CRITICAL
6317,3629,2022-12-14,100,healing|healing|healing|healing|healing|healing|energy|approved,8,watch|watch|watch|watch|watch|watch|watch|watch|live|live,11,False,0,True,0.3333333333333333,CRITICAL
